,DATE,High,Low,Open,Close,Volume,Adj Close
185,1994-09-26,46.171875,45.984375,46.078125,46.140625,223000.0,27.779184341430664
186,1994-09-27,46.265625,46.0,46.140625,46.109375,479500.0,27.76036262512207
187,1994-09-28,46.53125,46.328125,46.359375,46.46875,324000.0,27.976736068725586
188,1994-09-29,46.46875,46.09375,46.46875,46.234375,195900.0,27.835617065429688
189,1994-09-30,46.4375,46.171875,46.21875,46.171875,5200.0,27.797996520996094
190,1994-10-03,46.25,45.984375,46.203125,46.0625,72600.0,27.732147216796875
191,1994-10-04,46.296875,45.34375,46.296875,45.375,84200.0,27.318233489990234
192,1994-10-05,45.390625,45.0,45.296875,45.390625,461900.0,27.32763671875
193,1994-10-06,45.453125,45.171875,45.421875,45.25,345200.0,27.242965698242188
194,1994-10-07,45.578125,45.203125,45.25,45.453125,188700.0,27.365264892578125
195,1994-10-10,46.015625,45.640625,45.65625,45.9375,213600.0,27.656877517700195
196,1994-10-11,46.75,46.140625,46.140625,46.625,461400.0,28.0707950592041
197,1994-10-12,46.75,46.578125,46.6875,46.6875,162400.0,28.108415603637695
198,1994-10-13,47.328125,46.796875,47.21875,46.84375,1564500.0,28.20250701904297
199,1994-10-14,47.0625,46.6875,47.0,47.046875,72800.0,28.324790954589844
200,1994-10-17,47.0625,46.90625,47.0,46.953125,282300.0,28.268348693847656
201,1994-10-18,46.90625,46.6875,46.90625,46.84375,132100.0,28.20250701904297
202,1994-10-19,47.234375,46.65625,46.671875,47.0625,136700.0,28.334203720092773
203,1994-10-20,47.0625,46.609375,47.0625,46.75,290300.0,28.14606285095215
204,1994-10-21,46.6875,46.359375,46.625,46.5625,87800.0,28.033178329467773
205,1994-10-24,46.765625,46.15625,46.578125,46.171875,149600.0,27.797996520996094
206,1994-10-25,46.3125,46.0,46.015625,46.21875,91800.0,27.82622718811035
207,1994-10-26,46.4375,46.171875,46.390625,46.390625,201000.0,27.92967987060547
208,1994-10-27,46.671875,46.453125,46.5625,46.671875,210300.0,28.099018096923828
209,1994-10-28,47.703125,46.765625,46.765625,47.65625,192100.0,28.691665649414062
210,1994-10-31,47.59375,47.46875,47.546875,47.484375,36300.0,28.588191986083984
211,1994-11-01,47.28125,46.9375,47.28125,46.953125,435200.0,28.268348693847656
212,1994-11-02,47.234375,46.6875,46.8125,46.6875,115600.0,28.108415603637695
213,1994-11-03,47.015625,46.78125,46.84375,46.9375,87000.0,28.258934020996094
214,1994-11-04,47.15625,46.328125,47.15625,46.328125,124400.0,27.89206314086914
215,1994-11-07,46.59375,46.3125,46.4375,46.46875,115000.0,27.976736068725586
216,1994-11-08,46.984375,46.546875,46.625,46.828125,308300.0,28.193099975585938
217,1994-11-09,47.328125,46.5,47.328125,46.90625,318500.0,28.2401180267334
218,1994-11-10,47.03125,46.546875,46.9375,46.578125,172100.0,28.042577743530273
219,1994-11-11,46.5625,46.28125,46.515625,46.40625,302200.0,27.939102172851562
220,1994-11-14,46.859375,46.609375,46.609375,46.84375,181400.0,28.20250701904297
221,1994-11-15,47.09375,46.328125,46.796875,46.6875,316900.0,28.108415603637695
222,1994-11-16,46.84375,46.609375,46.765625,46.84375,106900.0,28.20250701904297
223,1994-11-17,46.875,46.34375,46.875,46.53125,104700.0,28.014366149902344
224,1994-11-18,46.625,46.265625,46.546875,46.46875,269300.0,27.976736068725586
225,1994-11-21,46.578125,46.0,46.4375,46.0,283100.0,27.694503784179688
226,1994-11-22,46.0,45.0,45.828125,45.0,483600.0,27.092466354370117
227,1994-11-23,45.265625,44.609375,45.03125,45.25,601600.0,27.242965698242188
228,1994-11-25,45.53125,45.28125,45.28125,45.46875,77300.0,27.37466049194336
229,1994-11-28,45.6875,45.34375,45.453125,45.671875,79900.0,27.49696159362793
230,1994-11-29,45.75,45.5,45.65625,45.65625,105500.0,27.4875545501709
231,1994-11-30,45.953125,45.59375,45.890625,45.59375,218800.0,27.449926376342773
232,1994-12-01,45.640625,45.046875,45.640625,45.140625,439000.0,27.177125930786133
233,1994-12-02,45.5625,45.046875,45.046875,45.5625,318500.0,27.431121826171875
234,1994-12-05,45.8125,45.5,45.65625,45.609375,139200.0,27.459341049194336
235,1994-12-06,45.65625,45.359375,45.4375,45.640625,249900.0,27.4781436920166
236,1994-12-07,45.5,45.265625,45.359375,45.3125,531900.0,27.280601501464844
237,1994-12-08,45.5625,44.75,45.5,44.875,261500.0,27.017208099365234
238,1994-12-09,45.078125,44.6875,44.875,45.046875,235900.0,27.120677947998047
239,1994-12-12,45.34375,44.953125,44.953125,45.34375,151100.0,27.299413681030273
240,1994-12-13,45.53125,45.3125,45.3125,45.515625,70900.0,27.402896881103516
241,1994-12-14,45.953125,45.453125,45.453125,45.75,203300.0,27.543994903564453
242,1994-12-15,46.03125,45.8125,45.8125,45.890625,130100.0,27.628665924072266
243,1994-12-16,45.84375,45.625,45.671875,45.75,266100.0,27.763608932495117
244,1994-12-19,45.84375,45.609375,45.75,45.8125,1120200.0,27.801544189453125
245,1994-12-20,45.890625,45.671875,45.859375,45.671875,675600.0,27.716196060180664
246,1994-12-21,46.265625,45.703125,45.703125,46.15625,544500.0,28.01015281677246
247,1994-12-22,46.203125,45.96875,46.15625,46.015625,222000.0,27.924802780151367
248,1994-12-23,46.171875,45.984375,45.984375,46.0625,125800.0,27.953258514404297
249,1994-12-27,46.40625,46.1875,46.21875,46.3125,95200.0,28.1049747467041
250,1994-12-28,46.359375,45.96875,46.359375,46.078125,358200.0,27.962732315063477
251,1994-12-29,46.25,46.0625,46.25,46.109375,220100.0,27.981700897216797
252,1994-12-30,46.25,45.5625,46.203125,45.5625,2209500.0,27.649837493896484
253,1995-01-03,45.84375,45.6875,45.703125,45.78125,324300.0,27.782581329345703
254,1995-01-04,46.0,45.75,45.984375,46.0,351800.0,27.915319442749023
255,1995-01-05,46.109375,45.953125,46.03125,46.0,89800.0,27.915319442749023
256,1995-01-06,46.25,45.90625,46.09375,46.046875,448400.0,27.94376564025879
257,1995-01-09,46.09375,46.0,46.03125,46.09375,36800.0,27.972217559814453
258,1995-01-10,46.390625,46.140625,46.203125,46.140625,229800.0,28.000673294067383
259,1995-01-11,46.296875,45.8125,46.296875,46.171875,222400.0,28.019636154174805
260,1995-01-12,46.21875,46.03125,46.125,46.1875,40300.0,28.029111862182617
261,1995-01-13,46.734375,46.375,46.4375,46.734375,170600.0,28.360977172851562
262,1995-01-16,47.03125,46.71875,46.71875,47.015625,105100.0,28.531660079956055
263,1995-01-17,47.0625,46.859375,46.921875,47.03125,89500.0,28.54117202758789
264,1995-01-18,47.078125,46.875,47.0,46.984375,84500.0,28.5126953125
265,1995-01-19,46.875,46.6875,46.828125,46.71875,139100.0,28.35150718688965
266,1995-01-20,46.671875,46.453125,46.65625,46.546875,78700.0,28.247215270996094
267,1995-01-23,46.6875,46.203125,46.234375,46.6875,53700.0,28.332529067993164
268,1995-01-24,46.75,46.640625,46.671875,46.75,32400.0,28.370479583740234
269,1995-01-25,47.046875,46.515625,46.515625,46.875,15700.0,28.446327209472656
270,1995-01-26,46.984375,46.75,46.84375,46.921875,9800.0,28.47477149963379
271,1995-01-27,47.234375,46.921875,47.234375,47.109375,91200.0,28.588552474975586
272,1995-01-30,47.046875,46.84375,47.015625,46.90625,26600.0,28.465280532836914
273,1995-01-31,47.171875,46.921875,47.0,47.09375,127500.0,28.579084396362305
274,1995-02-01,47.328125,47.0,47.15625,47.078125,380200.0,28.569595336914062
275,1995-02-02,47.359375,47.0625,47.0625,47.359375,131700.0,28.740278244018555
276,1995-02-03,48.109375,47.578125,47.65625,48.03125,405100.0,29.14801025390625
277,1995-02-06,48.375,47.96875,48.015625,48.234375,405400.0,29.27126693725586
278,1995-02-07,48.3125,48.140625,48.3125,48.296875,702900.0,29.309202194213867
279,1995-02-08,48.46875,48.203125,48.234375,48.296875,521500.0,29.309202194213867
280,1995-02-09,48.296875,48.125,48.21875,48.296875,390700.0,29.309202194213867
281,1995-02-10,48.359375,48.09375,48.234375,48.359375,148300.0,29.347135543823242
282,1995-02-13,48.46875,48.328125,48.328125,48.375,79700.0,29.356618881225586
283,1995-02-14,48.53125,48.25,48.53125,48.4375,170200.0,29.394542694091797
284,1995-02-15,48.765625,48.390625,48.4375,48.703125,431500.0,29.555740356445312
285,1995-02-16,48.6875,48.5,48.640625,48.640625,99300.0,29.517789840698242
286,1995-02-17,48.625,48.4375,48.59375,48.453125,49100.0,29.404016494750977
287,1995-02-21,48.53125,48.421875,48.453125,48.4375,168000.0,29.394542694091797
288,1995-02-22,48.796875,48.453125,48.484375,48.796875,386400.0,29.612638473510742
289,1995-02-23,49.15625,48.859375,48.984375,48.875,402800.0,29.6600399017334
290,1995-02-24,49.015625,48.8125,48.9375,49.0,307600.0,29.735885620117188
291,1995-02-27,49.0,48.53125,48.859375,48.609375,280900.0,29.498823165893555
292,1995-02-28,49.015625,48.5625,48.5625,49.015625,493500.0,29.745376586914062
293,1995-03-01,49.03125,48.65625,48.96875,48.703125,242600.0,29.555740356445312
294,1995-03-02,48.765625,48.546875,48.6875,48.765625,488600.0,29.593666076660156
295,1995-03-03,48.78125,48.484375,48.609375,48.78125,290000.0,29.60314178466797
296,1995-03-06,48.8125,48.390625,48.453125,48.8125,85700.0,29.622116088867188
297,1995-03-07,48.75,48.21875,48.640625,48.4375,180900.0,29.394542694091797
298,1995-03-08,48.625,48.34375,48.515625,48.5625,155900.0,29.470388412475586
299,1995-03-09,48.59375,48.421875,48.546875,48.546875,63500.0,29.46091079711914
300,1995-03-10,49.390625,48.53125,48.59375,49.265625,192100.0,29.897083282470703
301,1995-03-13,49.390625,49.171875,49.234375,49.21875,261300.0,29.86863136291504
302,1995-03-14,49.640625,49.359375,49.359375,49.578125,223300.0,30.086721420288086
303,1995-03-15,49.578125,49.296875,49.5,49.484375,278500.0,30.029836654663086
304,1995-03-16,49.8125,49.4375,49.4375,49.78125,20400.0,30.210012435913086
305,1995-03-17,49.625,49.40625,49.4375,49.5625,89900.0,30.240039825439453
306,1995-03-20,49.625,49.46875,49.625,49.5625,91700.0,30.240039825439453
307,1995-03-21,49.875,49.359375,49.5625,49.4375,104400.0,30.16377067565918
308,1995-03-22,49.53125,49.328125,49.53125,49.484375,74900.0,30.19239044189453
309,1995-03-23,49.65625,49.359375,49.421875,49.515625,220500.0,30.211442947387695
310,1995-03-24,50.21875,49.671875,49.671875,50.21875,134000.0,30.64045524597168
311,1995-03-27,50.421875,50.171875,50.296875,50.421875,132100.0,30.764387130737305
312,1995-03-28,50.421875,50.234375,50.296875,50.421875,121900.0,30.764387130737305
313,1995-03-29,50.890625,50.125,50.375,50.40625,246100.0,30.75485610961914
314,1995-03-30,50.515625,50.109375,50.515625,50.3125,298400.0,30.697647094726562
315,1995-03-31,50.171875,49.546875,49.921875,50.109375,541300.0,30.573715209960938
316,1995-04-03,50.234375,50.0625,50.09375,50.234375,193300.0,30.649978637695312
317,1995-04-04,50.5625,50.25,50.25,50.5625,66900.0,30.850183486938477
